paper_id,table_count,n_questions,f1_row_a,f1_row_c,delta_f1
1503.00841,4,4,0.377941,0.372869,-0.005072
1601.02403,0,6,0.450000,0.450000,0.000000
1603.01514,0,7,0.526151,0.526151,0.000000
1603.01987,0,1,1.000000,1.000000,0.000000
1603.08594,0,2,0.746575,0.746377,-0.000199
1603.09631,1,2,0.228261,0.228261,0.000000
1604.00400,0,5,0.470202,0.355929,-0.114273
1604.00727,0,2,0.500000,0.500000,0.000000
1604.03114,0,2,0.500000,0.500000,0.000000
1604.05372,0,1,1.000000,1.000000,0.000000
1604.08504,0,3,0.231111,0.231111,0.000000
1605.03481,0,5,0.331064,0.331064,0.000000
1605.06083,0,4,0.493056,0.493056,0.000000
1605.07333,0,5,0.483979,0.483979,0.000000
1606.02891,0,1,0.857143,0.857143,0.000000
1606.03676,0,2,0.937500,0.937500,0.000000
1608.01084,0,1,1.000000,1.000000,0.000000
1608.01884,0,4,0.318750,0.318750,0.000000
1608.06757,0,2,0.333333,0.333333,0.000000
1608.08188,0,2,0.341141,0.341141,0.000000
1609.00425,0,2,0.750000,0.750000,0.000000
1609.00559,0,3,0.333333,0.333333,0.000000
1610.00956,0,3,0.434768,0.434768,0.000000
1610.07809,0,3,0.555556,0.555556,0.000000
1610.08815,0,3,0.253648,0.253648,0.000000
1610.09225,0,3,0.517949,0.717949,0.200000
1611.01576,0,3,0.879630,0.879630,0.000000
1611.02988,0,3,0.647059,0.647059,0.000000
1611.03599,0,6,0.449612,0.449612,0.000000
1611.04798,0,4,0.950000,0.788462,-0.161538
1611.08661,0,4,0.781046,0.781046,0.000000
1612.02482,0,2,0.583333,0.583333,0.000000
1612.03226,0,4,0.035714,0.035714,0.000000
1612.06685,0,3,0.129630,0.129630,0.000000
1612.08205,0,5,0.400000,0.400000,0.000000
1701.02962,0,1,0.740741,0.740741,0.000000
1701.04056,0,1,0.000000,0.000000,0.000000
1701.05574,0,5,0.577052,0.577052,0.000000
1701.08229,0,4,0.593333,0.593333,0.000000
1702.03342,0,4,0.580882,0.580882,0.000000
1702.03856,0,3,0.538462,0.538462,0.000000
1703.04001,0,3,0.333333,0.333333,0.000000
1703.07090,0,3,0.041667,0.041667,0.000000
1703.07476,0,2,0.206897,0.206897,0.000000
1703.10344,1,6,0.355742,0.237886,-0.117856
1704.04452,0,6,0.408497,0.408497,0.000000
1704.06194,0,4,0.450000,0.450000,0.000000
1705.01214,0,3,0.271795,0.271795,0.000000
1705.01265,0,4,0.216667,0.216667,0.000000
1705.04153,0,2,0.384615,0.384615,0.000000
1705.05437,0,2,0.916667,0.916667,0.000000
1706.00139,0,2,0.863636,0.863636,0.000000
1706.01678,0,5,0.271429,0.271429,0.000000
1706.01875,0,4,0.576923,0.576923,0.000000
1706.06894,0,5,0.266863,0.400196,0.133333
1706.08198,0,2,0.950000,0.950000,0.000000
1706.09673,0,4,0.493056,0.493056,0.000000
1707.03569,0,3,0.365741,0.365741,0.000000
1707.05236,0,5,0.144971,0.126007,-0.018964
1707.06806,0,6,0.843838,0.843838,0.000000
1708.01464,0,4,0.756531,0.756531,0.000000
1708.06185,0,3,0.589744,0.256410,-0.333333
1709.05036,0,2,1.000000,1.000000,0.000000
1709.07814,0,3,0.446970,0.446970,0.000000
1709.10367,0,5,0.481707,0.481707,0.000000
1710.03348,0,3,0.232143,0.232143,0.000000
1710.04203,0,1,0.193548,0.193548,0.000000
1710.07960,0,2,0.611111,0.611111,0.000000
1712.00991,0,7,0.448639,0.460203,0.011564
1712.05608,0,4,0.229167,0.416667,0.187500
1712.05999,0,6,0.214103,0.214103,0.000000
1801.02073,0,4,0.750000,0.750000,0.000000
1801.05147,0,2,0.500000,0.500000,0.000000
1801.06482,0,2,0.500000,0.500000,0.000000
1801.07887,0,2,0.797297,0.797297,0.000000
1801.10293,0,3,0.093023,0.093023,0.000000
1802.00396,0,3,0.857143,0.857143,0.000000
1802.06024,0,6,0.566091,0.627820,0.061728
1802.07862,0,5,0.800000,0.644444,-0.155556
1802.08636,0,3,0.678788,0.678788,0.000000
1803.05223,0,4,0.416382,0.416382,0.000000
1803.09123,0,2,0.585185,0.585185,0.000000
1804.00720,0,1,1.000000,1.000000,0.000000
1804.05918,0,2,0.054264,0.054264,0.000000
1804.07789,0,4,0.600315,0.548525,-0.051790
1804.11346,0,4,0.500000,0.500000,0.000000
1805.01445,0,2,0.466667,0.466667,0.000000
1805.03710,0,4,0.491601,0.491601,0.000000
1805.04508,0,2,0.034483,0.000000,-0.034483
1805.06966,0,2,0.071429,0.166667,0.095238
1805.07133,0,4,0.500000,0.500000,0.000000
1805.08241,0,1,0.857143,1.000000,0.142857
1805.10824,0,6,0.434693,0.434693,0.000000
1806.00738,0,4,0.282258,0.282258,0.000000
1806.03125,5,2,0.494048,0.494048,0.000000
1806.04330,0,1,0.000000,0.000000,0.000000
1806.04511,0,6,0.516204,0.516204,0.000000
1806.05504,0,1,0.105263,0.105263,0.000000
1806.05513,0,4,0.078869,0.078869,0.000000
1806.11432,0,4,0.588235,0.588235,0.000000
1807.07279,0,4,0.577033,0.533591,-0.043443
1808.03738,0,2,0.875000,0.875000,0.000000
1808.09029,0,2,0.511364,0.511364,0.000000
1808.09111,0,3,0.771429,0.771429,0.000000
1808.10245,0,4,0.621795,0.612745,-0.009050
1809.00530,0,4,0.241456,0.241456,0.000000
1809.00540,0,3,0.266667,0.266667,0.000000
1809.01202,0,2,0.500000,0.500000,0.000000
1809.01541,0,7,0.505176,0.505176,0.000000
1809.02279,0,4,0.229422,0.229422,0.000000
1809.02286,0,1,0.000000,0.000000,0.000000
1809.03449,0,4,0.691176,0.691176,0.000000
1809.04267,0,1,0.636364,0.636364,0.000000
1809.06537,0,6,0.547345,0.547345,0.000000
1809.09194,0,3,0.611111,0.611111,0.000000
1810.04428,0,5,0.721053,0.721053,0.000000
1810.04635,0,3,0.253307,0.253307,0.000000
1810.05241,0,6,0.461279,0.476490,0.015211
1810.08699,0,3,0.479167,0.555556,0.076389
1810.12085,0,3,0.200000,0.200000,0.000000
1810.12091,0,2,0.000000,0.000000,0.000000
1810.12196,0,5,0.433333,0.459649,0.026316
1811.00147,0,2,0.500000,0.500000,0.000000
1811.00383,0,3,0.647059,0.313725,-0.333333
1811.05711,0,1,0.400000,0.400000,0.000000
1811.08603,0,4,0.531250,0.531250,0.000000
1811.12254,0,1,1.000000,1.000000,0.000000
